exam,num,front,back
1,3,1,0
1,4,1,0
1,6,1,0
1,7,1,0
1,8,1,0
1,10,1,0
1,11,1,0
1,12,1,0
1,13,1,0
1,14,0,1
1,17,0,1
1,18,0,1
1,19,0,1
1,20,0,1
1,21,0,1
1,22,0,1
1,23,0,1
1,24,0,1
1,25,0,1
1,26,0,1
2,3,1,0
2,5,1,0
2,6,1,0
2,7,1,0
2,8,1,0
2,9,1,0
2,10,1,0
2,13,0,1
2,14,0,1
2,15,0,1
2,16,0,1
2,17,0,1
2,18,0,1
2,19,0,1
2,20,0,1
2,21,0,1
2,22,0,1
2,23,0,1
2,25,0,1
2,26,0,1
3,1,1,0
3,2,1,0
3,3,1,0
3,4,1,0
3,5,1,0
3,6,1,0
3,7,1,0
3,8,1,0
3,9,1,0
3,10,1,0
3,11,1,0
3,12,0,1
3,13,0,1
3,14,0,1
3,15,0,1
3,16,0,1
3,17,0,1
3,18,0,1
3,19,0,1
3,20,0,1
3,21,0,1
3,22,0,1
3,23,0,1
4,1,1,0
4,2,1,0
4,3,1,0
4,4,1,0
4,5,1,0
4,6,1,0
4,7,1,0
4,8,1,0
4,9,1,0
4,10,1,0
4,11,1,0
4,12,1,0
4,13,0,1
4,14,0,1
4,15,0,1
4,16,0,1
4,17,0,1
4,18,0,1
4,19,0,1
4,20,0,1
4,21,0,1
4,22,0,1
4,23,0,1
4,24,0,1
4,25,0,1
5,1,1,0
5,2,1,0
5,3,1,0
5,4,1,0
5,5,1,0
5,6,1,0
5,7,1,0
5,8,1,0
5,9,1,0
5,10,1,0
5,11,1,0
5,12,1,0
5,13,0,1
5,14,0,1
5,15,0,1
5,16,0,1
5,17,0,1
5,18,0,1
5,19,0,1
5,20,0,1
5,21,0,1
5,22,0,1
5,23,0,1
5,24,0,1
5,25,0,1
6,4,1,0
6,5,0,1
6,6,0,1
6,7,1,0
6,8,0,1
6,9,1,0
6,10,1,0
6,11,1,0
6,12,1,0
6,14,0,1
6,16,1,0
6,17,0,1
6,18,1,0
6,19,0,1
6,20,1,0
6,21,0,1
6,22,0,1
6,23,0,1
6,24,1,0
6,25,0,1
