studentid,night,cum_gpa,credits,female
103,0,3.228,12,0
115,1,3.782,12,0
119,0,3.159,9,1
123,0,2.851,11.5,0
140,0,3.42,10.5,0
151,0,3.933,12,0
212,0,3.896,12,0
214,0,2.964,9,0
253,1,3.678,9,0
256,0,3.366,11,0
291,1,3.122,12,1
307,1,3.609,9,0
314,0,3.601,12,0
326,1,2.79,9,0
337,1,3.205,9,0
342,0,3.612,9,1
363,1,3.305,12,1
389,0,3.648,12,0
390,1,3.797,9,1
395,1,3.165,9,1
398,1,2.627,12,1
403,0,3.501,12,0
419,1,2.755,9,0
427,0,3.604,12,1
432,1,3.061,9,0
433,1,3.361,12,0
438,1,3.102,11,0
440,1,2.601,12,0
460,1,2.9,9,0
466,1,3.265,8,0
484,1,3.421,9,0
490,0,2.184,12,0
502,0,3.276,12.5,0
506,0,2.977,12,0
514,0,3.669,12,1
533,1,2.827,12,0
581,1,2.499,9.5,1
596,0,3.028,12,0
616,0,3.25,12,0
623,1,2.638,12,0
656,1,3.308,12,0
673,0,3.923,11,1
674,0,3.662,9,0
692,0,3.939,12.5,0
694,1,2.849,12,1
749,1,2.543,12,0
813,1,3.09,9,0
821,0,3.571,12,1
859,1,2.656,9,0
863,0,2.748,9,0
866,1,2.973,12,0
872,0,3.236,12,1
877,0,2.838,9,0
889,1,3.418,12,0
897,1,2.779,9,1
911,1,3.5,12,0
929,0,2.967,12,0
932,0,3.317,12,0
946,0,3.923,12,0
969,1,2.769,11,0
970,1,2.511,9.5,0
973,1,2.9,12,1
986,1,2.325,9.5,0
989,1,3.405,9,0
118,0,NULL,NULL,NULL
153,0,NULL,NULL,NULL
167,0,NULL,NULL,NULL
169,0,NULL,NULL,NULL
237,0,NULL,NULL,NULL
242,0,NULL,NULL,NULL
313,1,NULL,NULL,NULL
317,0,NULL,NULL,NULL
356,1,NULL,NULL,NULL
399,1,NULL,NULL,NULL
407,0,NULL,NULL,NULL
414,1,NULL,NULL,NULL
437,0,NULL,NULL,NULL
457,1,NULL,NULL,NULL
520,1,NULL,NULL,NULL
570,1,NULL,NULL,NULL
585,1,NULL,NULL,NULL
618,1,NULL,NULL,NULL
625,0,NULL,NULL,NULL
627,1,NULL,NULL,NULL
746,0,NULL,NULL,NULL
752,1,NULL,NULL,NULL
849,1,NULL,NULL,NULL
867,0,NULL,NULL,NULL
876,0,NULL,NULL,NULL
880,0,NULL,NULL,NULL
886,1,NULL,NULL,NULL
941,1,NULL,NULL,NULL
948,1,NULL,NULL,NULL
975,1,NULL,NULL,NULL
993,0,NULL,NULL,NULL
100,0,NULL,NULL,NULL
124,1,NULL,NULL,NULL
189,0,NULL,NULL,NULL
193,1,NULL,NULL,NULL
194,1,NULL,NULL,NULL
203,0,NULL,NULL,NULL
218,0,NULL,NULL,NULL
239,0,NULL,NULL,NULL
273,1,NULL,NULL,NULL
276,1,NULL,NULL,NULL
298,0,NULL,NULL,NULL
302,1,NULL,NULL,NULL
341,1,NULL,NULL,NULL
373,0,NULL,NULL,NULL
392,1,NULL,NULL,NULL
485,0,NULL,NULL,NULL
544,1,NULL,NULL,NULL
600,1,NULL,NULL,NULL
693,1,NULL,NULL,NULL
742,1,NULL,NULL,NULL
744,0,NULL,NULL,NULL
777,0,NULL,NULL,NULL
779,1,NULL,NULL,NULL
847,1,NULL,NULL,NULL
869,0,NULL,NULL,NULL
890,0,NULL,NULL,NULL
899,0,NULL,NULL,NULL
913,0,NULL,NULL,NULL
947,1,NULL,NULL,NULL
